"Step","Apr27_00-00-40_g1 - Episode/terrain_level","Apr27_00-00-40_g1 - Episode/terrain_level__MIN","Apr27_00-00-40_g1 - Episode/terrain_level__MAX","Apr26_21-08-25_g1 - Episode/terrain_level","Apr26_21-08-25_g1 - Episode/terrain_level__MIN","Apr26_21-08-25_g1 - Episode/terrain_level__MAX","Apr25_21-00-24_g1 - Episode/terrain_level","Apr25_21-00-24_g1 - Episode/terrain_level__MIN","Apr25_21-00-24_g1 - Episode/terrain_level__MAX"
"722","0.0002746582","0.0002746582","0.0002746582","0.00088500977","0.00088500977","0.00088500977","0.00044759116","0.00044759116","0.00044759116"
"754","0.00024414062","0.00024414062","0.00024414062","0.00039672852","0.00039672852","0.00039672852","0.00018310547","0.00018310547","0.00018310547"
"786","0.000091552734","0.000091552734","0.000091552734","0.00014241537","0.00014241537","0.00014241537","0","0","0"
"818","0","0","0","0","0","0","0","0","0"
"850","0","0","0","0","0","0","0","0","0"
"882","0","0","0","0","0","0","0","0","0"
"914","0","0","0","0","0","0","0","0","0"
"946","0","0","0","0","0","0","0","0","0"
"978","0","0","0","0","0","0","0","0","0"
"1010","0","0","0","0","0","0","0","0","0"
"1042","0","0","0","0","0","0","0","0","0"
"1074","0","0","0","0","0","0","0","0","0"
"1106","0","0","0","0","0","0","0","0","0"
"1138","0","0","0","0","0","0","0","0","0"
"1170","0","0","0","0","0","0","0","0","0"
"1202","0","0","0","0","0","0","0","0","0"
"1234","0","0","0","0","0","0","0","0","0"
"1266","0","0","0","0","0","0","0","0","0"
"1298","0","0","0","0","0","0","0","0","0"
"1330","0","0","0","0","0","0","0","0","0"
"1362","0","0","0","0","0","0","0","0","0"
"1394","0","0","0","0","0","0","0","0","0"
"1426","0","0","0","0","0","0","0","0","0"
"1458","0","0","0","0","0","0","0","0","0"
"1490","0","0","0","0","0","0","0","0","0"
"1522","0","0","0","0","0","0","0","0","0"
"1554","0","0","0","0","0","0","0","0","0"
"1586","0","0","0","0","0","0","0","0","0"
"1618","0","0","0","0","0","0","0","0","0"
"1650","0","0","0","0","0","0","0","0","0"
"1682","0","0","0","0","0","0","0","0","0"
"1714","0","0","0","0","0","0","0","0","0"
"1746","0","0","0","0","0","0","0","0","0"
"1778","0","0","0","0","0","0","0","0","0"
"1810","0","0","0","0","0","0","0","0","0"
"1842","0","0","0","0","0","0","0","0","0"
"1874","0","0","0","0","0","0","0","0","0"
"1906","0","0","0","0","0","0","0","0","0"
"1938","0","0","0","0","0","0","0","0","0"
"1970","0","0","0","0","0","0","0","0","0"
"2002","0","0","0","0","0","0","0","0","0"
"2034","0","0","0","0","0","0","0","0","0"
"2066","0","0","0","0","0","0","0","0","0"
"2098","0","0","0","0","0","0","0","0","0"
"2130","0","0","0","0","0","0","0","0","0"
"2162","0","0","0","0","0","0","0","0","0"
"2194","0","0","0","0","0","0","0","0","0"
"2226","0","0","0","0","0","0","0","0","0"
"2258","0","0","0","0","0","0","0","0","0"
"2290","0","0","0","0","0","0","0","0","0"
"2322","0","0","0","0","0","0","0","0","0"
"2354","0","0","0","0","0","0","0","0","0"
"2386","0","0","0","0","0","0","0","0","0"
"2418","0","0","0","0","0","0","0","0","0"
"2450","0","0","0","0","0","0","0","0","0"
"2482","0","0","0","0","0","0","0","0","0"
"2514","0","0","0","0","0","0","0","0","0"
"2546","0","0","0","0","0","0","0","0","0"
"2578","0","0","0","0","0","0","0","0","0"
"2610","0","0","0","0","0","0","0","0","0"
"2642","0","0","0","0","0","0","0","0","0"
"2674","0","0","0","0","0","0","0","0","0"
"2706","0","0","0","0","0","0","0","0","0"
"2738","0","0","0","0","0","0","0","0","0"
"2770","0","0","0","0","0","0","0","0","0"
"2802","0","0","0","0","0","0","0","0","0"
"2834","0","0","0","0","0","0","0","0","0"
"2866","0","0","0","0","0","0","0","0","0"
"2898","0","0","0","0","0","0","0","0","0"
"2930","0","0","0","0","0","0","0","0","0"
"2962","0","0","0","0","0","0","0","0","0"
"2994","0","0","0","0","0","0","0","0","0"
"3026","0","0","0","0","0","0","0","0","0"
"3058","0","0","0","0","0","0","0","0","0"
"3090","0","0","0","0","0","0","0","0","0"
"3122","0","0","0","0","0","0","0","0","0"
"3154","0","0","0","0","0","0","0","0","0"
"3186","0","0","0","0","0","0","0","0","0"
"3218","0","0","0","0","0","0","0","0","0"
"3250","0","0","0","0","0","0","0","0","0"
"3282","0","0","0","0","0","0","0","0","0"
"3314","0","0","0","0","0","0","0","0","0"
"3346","0","0","0","0","0","0","0","0","0"
"3378","0","0","0","0","0","0","0","0","0"
"3410","0","0","0","0","0","0","0","0","0"
"3442","0","0","0","0","0","0","0","0","0"
"3474","0","0","0","0","0","0","0","0","0"
"3506","0","0","0","0","0","0","0","0","0"
"3538","0","0","0","0","0","0","0","0","0"
"3570","0","0","0","0","0","0","0","0","0"
"3602","0","0","0","0","0","0","0","0","0"
"3634","0","0","0","0","0","0","0","0","0"
"3666","0","0","0","0","0","0","0","0","0"
"3698","0","0","0","0","0","0","0","0","0"
"3730","0","0","0","0","0","0","0","0","0"
"3762","0","0","0","0","0","0","0","0","0"
"3794","0","0","0","0","0","0","0","0","0"
"3826","0","0","0","0","0","0","0","0","0"
"3858","0","0","0","0","0","0","0","0","0"
"3890","0","0","0","0","0","0","0","0","0"
"3922","0","0","0","0","0","0","0","0","0"
"3954","0","0","0","0","0","0","0","0","0"
"3986","0","0","0","0","0","0","0","0","0"
"4018","0","0","0","0","0","0","0","0","0"
"4050","0","0","0","0","0","0","0","0","0"
"4082","0","0","0","0","0","0","0","0","0"
"4114","0","0","0","0","0","0","0","0","0"
"4146","0","0","0","0","0","0","0","0","0"
"4178","0","0","0","0","0","0","0","0","0"
"4210","0","0","0","0","0","0","0","0","0"
"4242","0","0","0","0","0","0","0","0","0"
"4274","0","0","0","0","0","0","0","0","0"
"4306","0","0","0","0","0","0","0","0","0"
"4338","0","0","0","0","0","0","0","0","0"
"4370","0","0","0","0","0","0","0","0","0"
"4402","0","0","0","0","0","0","0","0","0"
"4434","0","0","0","0","0","0","0","0","0"
"4466","0","0","0","0","0","0","0","0","0"
"4498","0","0","0","0","0","0","0","0","0"
"4530","0","0","0","0","0","0","0","0","0"
"4562","0","0","0","0","0","0","0","0","0"
"4594","0","0","0","0","0","0","0","0","0"
"4626","0","0","0","0","0","0","0","0","0"
"4658","0","0","0","0","0","0","0","0","0"
"4690","0","0","0","0","0","0","0","0","0"
"4722","0","0","0","0","0","0","0","0","0"
"4754","0","0","0","0","0","0","0","0","0"
"4786","0","0","0","0","0","0","0","0","0"
"4818","0","0","0","0","0","0","0","0","0"
"4850","0","0","0","0","0","0","0","0","0"
"4882","0","0","0","0","0","0","0","0","0"
"4914","0","0","0","0","0","0","0","0","0"
"4946","0","0","0","0","0","0","0","0","0"
"4978","0","0","0","0","0","0","0","0","0"
"5010","0","0","0","0","0","0","0","0","0"
"5042","0","0","0","0","0","0","0","0","0"
"5074","0","0","0","0","0","0","0","0","0"
"5106","0","0","0","0","0","0","0","0","0"
"5138","0","0","0","0","0","0","0","0","0"
"5170","0","0","0","0","0","0","0","0","0"
"5202","0","0","0","0","0","0","0","0","0"
"5234","0","0","0","0","0","0","0","0","0"
"5266","0","0","0","0","0","0","0","0","0"
"5298","0","0","0","0","0","0","0","0","0"
"5330","0","0","0","0","0","0","0","0","0"
"5362","0","0","0","0","0","0","0","0","0"
"5394","0","0","0","0","0","0","0","0","0"
"5426","0","0","0","0","0","0","0","0","0"
"5458","0","0","0","0","0","0","0","0","0"
"5490","0","0","0","0","0","0","0","0","0"
"5522","0","0","0","0","0","0","0","0","0"
"5554","0","0","0","0","0","0","0","0","0"
"5586","0","0","0","0","0","0","0","0","0"
"5618","0","0","0","0","0","0","0","0","0"
"5650","0","0","0","0","0","0","0","0","0"
"5682","0","0","0","0","0","0","0","0","0"
"5714","0","0","0","0","0","0","0","0","0"
"5746","0","0","0","0","0","0","0","0","0"
"5778","0","0","0","0","0","0","0","0","0"
"5810","0","0","0","0","0","0","0","0","0"
"5842","0","0","0","0","0","0","0","0","0"
"5874","0","0","0","0","0","0","0","0","0"
"5906","0","0","0","0","0","0","0","0","0"
"5938","0","0","0","0","0","0","0","0","0"
"5970","0","0","0","0","0","0","0","0","0"
"6002","0","0","0","0","0","0","0","0","0"
"6034","0","0","0","0","0","0","0","0","0"
"6066","0","0","0","0","0","0","0","0","0"
"6098","0","0","0","0","0","0","0","0","0"
"6130","0","0","0","0","0","0","0","0","0"
"6162","0","0","0","0","0","0","0","0","0"
"6194","0","0","0","0","0","0","0","0","0"
"6226","0","0","0","0","0","0","0","0","0"
"6258","0","0","0","0","0","0","0","0","0"
"6290","0","0","0","0","0","0","0","0","0"
"6322","0","0","0","0","0","0","0","0","0"
"6354","0","0","0","0","0","0","0","0","0"
"6386","0","0","0","0","0","0","0","0","0"
"6418","0","0","0","0","0","0","0","0","0"
"6450","0","0","0","0","0","0","0","0","0"
"6482","0","0","0","0","0","0","0","0","0"
"6514","0","0","0","0","0","0","0","0","0"
"6546","0","0","0","0","0","0","0","0","0"
"6578","0","0","0","0","0","0","0","0","0"
"6610","0","0","0","0","0","0","0","0","0"
"6642","0","0","0","0","0","0","0","0","0"
"6674","0","0","0","0","0","0","0","0","0"
"6706","0","0","0","0","0","0","0","0","0"
"6738","0","0","0","0","0","0","0","0","0"
"6770","0","0","0","0","0","0","0","0","0"
"6802","0","0","0","0","0","0","0","0","0"
"6834","0","0","0","0","0","0","0","0","0"
"6866","0","0","0","0","0","0","0","0","0"
"6898","0","0","0","0","0","0","0","0","0"
"6930","0","0","0","0","0","0","0","0","0"
"6962","0","0","0","0","0","0","0","0","0"
"6994","0","0","0","0","0","0","0","0","0"
"7026","0","0","0","0","0","0","0","0","0"
"7058","0","0","0","0","0","0","0","0","0"
"7090","0","0","0","0","0","0","0","0","0"
"7122","0","0","0","0","0","0","0","0","0"
"7154","0","0","0","0","0","0","0","0","0"
"7186","0","0","0","0","0","0","0","0","0"
"7218","0","0","0","0","0","0","0","0","0"
"7250","0","0","0","0","0","0","0","0","0"
"7282","0","0","0","0","0","0","0","0","0"
"7314","0","0","0","0","0","0","0","0","0"
"7346","0","0","0","0","0","0","0","0","0"
"7378","0","0","0","0","0","0","0","0","0"
"7410","0","0","0","0","0","0","0","0","0"
"7442","0","0","0","0","0","0","0","0","0"
"7474","0","0","0","0","0","0","0","0","0"
"7506","0","0","0","0","0","0","0","0","0"
"7538","0","0","0","0","0","0","0","0","0"
"7570","0","0","0","0","0","0","0","0","0"
"7602","0","0","0","0","0","0","0","0","0"
"7634","0","0","0","0","0","0","0","0","0"
"7666","0","0","0","0","0","0","0","0","0"
"7698","0","0","0","0","0","0","0","0","0"
"7730","0","0","0","0","0","0","0","0","0"
"7762","0","0","0","0","0","0","0","0","0"
"7794","0","0","0","0","0","0","0","0","0"
"7826","0","0","0","0","0","0","0","0","0"
"7858","0","0","0","0","0","0","0","0","0"
"7890","0","0","0","0","0","0","0","0","0"
"7922","0","0","0","0","0","0","0","0","0"
"7954","0","0","0","0","0","0","0","0","0"
"7986","0","0","0","0","0","0","0","0","0"
"8018","0","0","0","0","0","0","0","0","0"
"8050","0","0","0","0","0","0","0","0","0"
"8082","0","0","0","0","0","0","0","0","0"
"8114","0","0","0","0","0","0","0","0","0"
"8146","0","0","0","0","0","0","0","0","0"
"8178","0","0","0","0","0","0","0","0","0"
"8210","0","0","0","0","0","0","0","0","0"
"8242","0","0","0","0","0","0","0","0","0"
"8274","0","0","0","0","0","0","0","0","0"
"8306","0","0","0","0","0","0","0","0","0"
"8338","0","0","0","0","0","0","0","0","0"
"8370","0","0","0","0","0","0","0","0","0"
"8402","0","0","0","0","0","0","0","0","0"
"8434","0","0","0","0","0","0","0","0","0"
"8466","0","0","0","0","0","0","0","0","0"
"8498","0","0","0","0","0","0","0","0","0"
"8530","0","0","0","0","0","0","0","0","0"
"8562","0","0","0","0","0","0","0","0","0"
"8594","0","0","0","0","0","0","0","0","0"
"8626","0","0","0","0","0","0","0","0","0"
"8658","0","0","0","0","0","0","0","0","0"
"8690","0","0","0","0","0","0","0","0","0"
"8722","0","0","0","0","0","0","0","0","0"
"8754","0","0","0","0","0","0","0","0","0"
"8786","0","0","0","0","0","0","0","0","0"
"8818","0","0","0","0","0","0","0","0","0"
"8850","0","0","0","0","0","0","0","0","0"
"8882","0","0","0","0","0","0","0","0","0"
"8914","0","0","0","0","0","0","0","0","0"
"8946","0","0","0","0","0","0","0","0","0"
"8978","0","0","0","0","0","0","0","0","0"
"9010","0","0","0","0","0","0","0","0","0"
"9042","0","0","0","0","0","0","0","0","0"
"9074","0","0","0","0","0","0","0","0","0"
"9106","0","0","0","0","0","0","0","0","0"
"9138","0","0","0","0","0","0","0","0","0"
"9170","0","0","0","0","0","0","0","0","0"
"9202","0","0","0","0","0","0","0","0","0"
"9234","0","0","0","0","0","0","0","0","0"
"9266","0","0","0","0","0","0","0","0","0"
"9298","0","0","0","0","0","0","0","0","0"
"9330","0","0","0","0","0","0","0","0","0"
"9362","0","0","0","0","0","0","0","0","0"
"9394","0","0","0","0","0","0","0","0","0"
"9426","0","0","0","0","0","0","0","0","0"
"9458","0","0","0","0","0","0","0","0","0"
"9490","0","0","0","0","0","0","0","0","0"
"9522","0","0","0","0","0","0","0","0","0"
"9554","0","0","0","0","0","0","0","0","0"
"9586","0","0","0","0","0","0","0","0","0"
"9618","0","0","0","0","0","0","0","0","0"
"9650","0","0","0","0","0","0","0","0","0"
"9682","0","0","0","0","0","0","0","0","0"
"9714","0","0","0","0","0","0","0","0","0"
"9746","0","0","0","0","0","0","0","0","0"
"9778","0","0","0","0","0","0","0","0","0"
"9810","0","0","0","0","0","0","0","0","0"
"9842","0","0","0","0","0","0","0","0","0"
"9874","0","0","0","0","0","0","0","0","0"
"9906","0","0","0","0","0","0","0","0","0"
"9938","0","0","0","0","0","0","0","0","0"
"9970","0","0","0","0","0","0","0","0","0"
"10002","0","0","0","0","0","0","0","0","0"
"10034","0","0","0","0","0","0","0","0","0"
"10066","0","0","0","0","0","0","0","0","0"
"10098","0","0","0","0","0","0","0","0","0"
"10130","0","0","0","0","0","0","0","0","0"
"10162","0","0","0","0","0","0","0","0","0"
"10194","0","0","0","0","0","0","0","0","0"
"10226","0","0","0","0","0","0","0","0","0"
"10258","0","0","0","0","0","0","0","0","0"
"10290","0","0","0","0","0","0","0","0","0"
"10322","0","0","0","0","0","0","0","0","0"
"10354","0","0","0","0","0","0","0","0","0"
"10386","0","0","0","0","0","0","0","0","0"
"10418","0","0","0","0","0","0","0","0","0"
"10450","0","0","0","0","0","0","0","0","0"
"10482","0","0","0","0","0","0","0","0","0"
"10514","0","0","0","0","0","0","0","0","0"
"10546","0","0","0","0","0","0","0","0","0"
"10578","0","0","0","0","0","0","0","0","0"
"10610","0","0","0","0","0","0","0","0","0"
"10642","0","0","0","0","0","0","0","0","0"
"10674","0","0","0","0","0","0","0","0","0"
"10706","0","0","0","0","0","0","0","0","0"
"10738","0","0","0","0","0","0","0","0","0"
"10770","0","0","0","0","0","0","0","0","0"
"10802","0","0","0","0","0","0","0","0","0"
"10834","0","0","0","0","0","0","0","0","0"
"10866","0","0","0","0","0","0","0","0","0"
"10898","0","0","0","0","0","0","0","0","0"
"10930","0","0","0","0","0","0","0","0","0"
"10962","0","0","0","0","0","0","0","0","0"
"10994","0","0","0","0","0","0","0","0","0"
"11026","0","0","0","0","0","0","0","0","0"
"11058","0","0","0","0","0","0","0","0","0"
"11090","0","0","0","0","0","0","0","0","0"
"11122","0","0","0","0","0","0","0","0","0"
"11154","0","0","0","0","0","0","0","0","0"
"11186","0","0","0","0","0","0","0","0","0"
"11218","0","0","0","0","0","0","0","0","0"
"11250","0","0","0","0","0","0","0","0","0"
"11282","0","0","0","0","0","0","0","0","0"
"11314","0","0","0","0","0","0","0","0","0"
"11346","0","0","0","0","0","0","0","0","0"
"11378","0","0","0","0","0","0","0.00011189779","0.00011189779","0.00011189779"
"11410","0","0","0","0","0","0","0.00024414062","0.00024414062","0.00024414062"
"11442","0","0","0","0","0","0","0.00024414062","0.00024414062","0.00024414062"
"11474","0","0","0","0","0","0","0.000579834","0.000579834","0.000579834"
"11506","0","0","0","0","0","0","0.0007324219","0.0007324219","0.0007324219"
"11538","0","0","0","0","0","0","0.00086466473","0.00086466473","0.00086466473"
"11570","0","0","0","0","0","0","0.0011088054","0.0011088054","0.0011088054"
"11602","0","0","0","0","0","0","0.0012207031","0.0012207031","0.0012207031"
"11634","0","0","0","0","0","0","0.0012207031","0.0012207031","0.0012207031"
"11666","0","0","0","0","0","0","0.0013834636","0.0013834636","0.0013834636"
"11698","0","0","0","0","0","0","0.0017089844","0.0017089844","0.0017089844"
"11730","0","0","0","0","0","0","0.0019226074","0.0019226074","0.0019226074"
"11762","0","0","0","0","0","0","0.001953125","0.001953125","0.001953125"
"11794","0","0","0","0","0","0","0.001953125","0.001953125","0.001953125"
"11826","0","0","0","0","0","0","0.001953125","0.001953125","0.001953125"
"11858","0","0","0","0","0","0","0.0020039878","0.0020039878","0.0020039878"
"11890","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"11922","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"11954","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"11986","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"12018","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"12050","0","0","0","0","0","0","0.0021972656","0.0021972656","0.0021972656"
"12082","0","0","0","0","0","0","0.0027364097","0.0027364097","0.0027364097"
"12114","0","0","0","0","0","0","0.0061136885","0.0061136885","0.0061136885"
"12146","0","0","0","0","0","0","0.008717855","0.008717855","0.008717855"
"12178","0","0","0","0","0","0","0.009297689","0.009297689","0.009297689"
"12210","0","0","0","0","0","0","0.010091146","0.010091146","0.010091146"
"12242","0","0","0","0","0","0","0.010447185","0.010447185","0.010447185"
"12274","0","0","0","0","0","0","0.0107421875","0.0107421875","0.0107421875"
"12306","0","0","0","0","0","0","0.010935466","0.010935466","0.010935466"
"12338","0","0","0","0","0","0","0.011250814","0.011250814","0.011250814"
"12370","0","0","0","0","0","0","0.011932373","0.011932373","0.011932373"
"12402","0","0","0","0","0","0","0.012573242","0.012573242","0.012573242"
"12434","0","0","0","0","0","0","0.0128377285","0.0128377285","0.0128377285"
"12466","0","0","0","0","0","0","0.0130513515","0.0130513515","0.0130513515"
"12498","0","0","0","0","0","0","0.013671875","0.013671875","0.013671875"
"12530","0","0","0","0","0","0","0.0147908535","0.0147908535","0.0147908535"
"12562","0","0","0","0","0","0","0.015899658","0.015899658","0.015899658"
"12594","0","0","0","0","0","0","0.016194662","0.016194662","0.016194662"
"12626","0","0","0","0","0","0","0.016977947","0.016977947","0.016977947"
"12658","0","0","0","0","0","0","0.01751709","0.01751709","0.01751709"
"12690","0","0","0","0","0","0","0.017923992","0.017923992","0.017923992"
"12722","0","0","0","0","0","0","0.018351238","0.018351238","0.018351238"
"12754","0","0","0","0","0","0","0.019226074","0.019226074","0.019226074"
"12786","0","0","0","0","0","0","0.019907635","0.019907635","0.019907635"
"12818","0","0","0","0","0","0","0.02138265","0.02138265","0.02138265"
"12850","0","0","0","0","0","0","0.023590088","0.023590088","0.023590088"
"12882","0","0","0","0","0","0","0.02576701","0.02576701","0.02576701"
"12914","0","0","0","0","0","0","0.02814738","0.02814738","0.02814738"
"12946","0","0","0","0","0","0","0.02971395","0.02971395","0.02971395"
"12978","0","0","0","0","0","0","0.030822754","0.030822754","0.030822754"
"13010","0","0","0","0","0","0","0.0318807","0.0318807","0.0318807"
"13042","0","0","0","0","0","0","0.033040367","0.033040367","0.033040367"
"13074","0","0","0","0","0","0","0.034108482","0.034108482","0.034108482"
"13106","0","0","0","0","0","0","0.035563152","0.035563152","0.035563152"
"13138","0","0","0","0","0","0","0.036712646","0.036712646","0.036712646"
"13170","0","0","0","0","0","0","0.037200928","0.037200928","0.037200928"
"13202","0","0","0","0","0","0","0.03797404","0.03797404","0.03797404"
"13234","0","0","0","0","0","0","0.038380943","0.038380943","0.038380943"
"13266","0","0","0","0","0","0","0.042307537","0.042307537","0.042307537"
"13298","0","0","0","0","0","0","0.0625","0.0625","0.0625"
"13330","0","0","0","0","0","0","0.07395427","0.07395427","0.07395427"
"13362","0","0","0","0","0","0","0.07985433","0.07985433","0.07985433"
"13394","0","0","0","0","0","0","0.08305868","0.08305868","0.08305868"
"13426","0","0","0","0","0","0","0.08394369","0.08394369","0.08394369"
"13458","0","0","0","0","0","0","0.08526611","0.08526611","0.08526611"
"13490","0","0","0","0","0","0","0.08632406","0.08632406","0.08632406"
"13522","0","0","0","0","0","0","0.08682251","0.08682251","0.08682251"
"13554","0","0","0","0","0","0","0.086985275","0.086985275","0.086985275"
"13586","0","0","0","0","0","0","0.087890625","0.087890625","0.087890625"
"13618","0","0","0","0","0","0","0.0884196","0.0884196","0.0884196"
"13650","0","0","0","0","0","0","0.09023031","0.09023031","0.09023031"
"13682","0","0","0","0","0","0","0.11301677","0.11301677","0.11301677"
"13714","0","0","0","0","0","0","0.14491782","0.14491782","0.14491782"
"13746","0","0","0","0","0","0","0.15291342","0.15291342","0.15291342"
"13778","0","0","0","0","0","0","0.15608725","0.15608725","0.15608725"
"13810","0","0","0","0","0","0","0.15786743","0.15786743","0.15786743"
"13842","0","0","0","0","0","0","0.16027832","0.16027832","0.16027832"
"13874","0","0","0","0.000020345053","0.000020345053","0.000020345053","0.16157024","0.16157024","0.16157024"
"13906","0","0","0","0.00024414062","0.00024414062","0.00024414062","0.1651001","0.1651001","0.1651001"
"13938","0","0","0","0.00039672852","0.00039672852","0.00039672852","0.16767375","0.16767375","0.16767375"
"13970","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.1693217","0.1693217","0.1693217"
"14002","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.17218018","0.17218018","0.17218018"
"14034","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.17612712","0.17612712","0.17612712"
"14066","0","0","0","0.0004984538","0.0004984538","0.0004984538","0.180247","0.180247","0.180247"
"14098","0","0","0","0.0013631185","0.0013631185","0.0013631185","0.18427531","0.18427531","0.18427531"
"14130","0","0","0","0.0014648438","0.0014648438","0.0014648438","0.1886495","0.1886495","0.1886495"
"14162","0","0","0","0.0014648438","0.0014648438","0.0014648438","0.19203696","0.19203696","0.19203696"
"14194","0","0","0","0.0014648438","0.0014648438","0.0014648438","0.19405112","0.19405112","0.19405112"
"14226","0","0","0","0.0014648438","0.0014648438","0.0014648438","0.19732666","0.19732666","0.19732666"
"14258","0","0","0","0.0014648438","0.0014648438","0.0014648438","0.19904582","0.19904582","0.19904582"
"14290","0.000040690105","0.000040690105","0.000040690105","0.0014648438","0.0014648438","0.0014648438","0.20062256","0.20062256","0.20062256"
"14322","0.00024414062","0.00024414062","0.00024414062","0.0014648438","0.0014648438","0.0014648438","0.20265707","0.20265707","0.20265707"
"14354","0.00024414062","0.00024414062","0.00024414062","0.0014648438","0.0014648438","0.0014648438","0.2066854","0.2066854","0.2066854"
"14386","0.00024414062","0.00024414062","0.00024414062","0.0014648438","0.0014648438","0.0014648438","0.2088623","0.2088623","0.2088623"
"14418","0.00024414062","0.00024414062","0.00024414062","0.0014648438","0.0014648438","0.0014648438","0.20984904","0.20984904","0.20984904"
"14450","0.00024414062","0.00024414062","0.00024414062","0.0014648438","0.0014648438","0.0014648438","0.21195476","0.21195476","0.21195476"
"14482","0.000020345053","0.000020345053","0.000020345053","0.0006510417","0.0006510417","0.0006510417","0.21406047","0.21406047","0.21406047"
"14514","0","0","0","0","0","0","0.21644084","0.21644084","0.21644084"
"14546","0","0","0","0","0","0","0.21900432","0.21900432","0.21900432"
"14578","0","0","0","0","0","0","0.22070312","0.22070312","0.22070312"
"14610","0","0","0","0","0","0","0.2224528","0.2224528","0.2224528"
"14642","0","0","0","0","0","0","0.22479248","0.22479248","0.22479248"
"14674","0","0","0","0","0","0","0.22664389","0.22664389","0.22664389"
"14706","0","0","0","0","0","0","0.22861736","0.22861736","0.22861736"
"14738","0","0","0","0","0","0","0.23068237","0.23068237","0.23068237"
"14770","0","0","0","0","0","0","0.23235068","0.23235068","0.23235068"
"14802","0","0","0","0","0","0","0.23514812","0.23514812","0.23514812"
"14834","0","0","0","0","0","0","0.23693848","0.23693848","0.23693848"
"14866","0","0","0","0","0","0","0.25006104","0.25006104","0.25006104"
"14898","0","0","0","0","0","0","0.3392741","0.3392741","0.3392741"
"14930","0.00023396811","0.00023396811","0.00023396811","0","0","0","0.3848165","0.3848165","0.3848165"
